survey.DP,survey.BS
14.81481481,307.3674493
2.380952381,23.60443376
5.737433862,56.47597002
4.96031746,48.32071863
3.422619048,69.69246032
5.158730159,48.32071863
26.81818182,179.4507576
11.77651515,151.7387416
12.94444444,75.07575758
23.59015152,41.52952848
6.142997199,67.70502646
26.80512821,107.034632
10.08680556,215.1791665
10.92139805,49.95317319
11.64502165,156.3867267
0.595238095,73.8260582
9.573137239,336.2453604
3.935185185,290.5961708
11.39957265,423.368732
10.46969186,81.91055564
2.095238095,147.518315
5.736910149,199.4136038
2.64957265,11.11111111
2,119.5526696
3.055555556,291.7564122
23.67988493,323.8685504
2.463924964,264.8043507
3.27991453,616.1401532
2.867965368,723.0495199
5.132275132,763.1494663
2.115384615,693.8642954
2.453703704,866.0105327
2.394480519,552.6045135
2.02991453,493.7787907
4.368686869,760.1296273
1.984126984,676.314354
1.908369408,228.6827756
16.8452381,252.4594907
9.74537037,9.46969697
8.211580087,47.88773148
6.471445221,404.296398
3.747086247,644.5629024
3.955627706,760.3559635
4.795066045,622.4972944
5.659340659,781.727127
1.845238095,897.2546551
1.831501832,722.1554487
24.8015873,4.166666667
13.9781746,167.066585
5.264550265,93.72043851
8.432539683,72.70998677
14.59325397,213.1283069
7.69510582,112.4917328
6.560846561,24.59490741
5.023148148,136.9171627
6.640812891,95.00739423
7.44047619,51.50462963
6.508537759,160.8057018
44.86562049,178.674017
4.96031746,46.46059959
5.942760943,630.1592312
5.016835017,773.5414662
6.666666667,35.59027778
3.106060606,74.91582492
9.583333333,108.9891975
6.243686869,72.97366021
6.127946128,210.9794623
7.270907699,132.0991238
4.661680912,271.1220107
52.08453583,56.67726371
4.124709831,130.7838881
2.639751553,5.681818182
44.84484484,101.1614432
2.18034218,21.60441116
4.111411862,46.41431004
4.36014146,48.12014861
1.422643042,63.63246014
4.448110448,48.12014861
26.84848485,413.4401414
44.11644444,444.1181445
42.34444444,14.01414141
21.43044444,44.42342842
6.442331439,61.10402644
26.8044282,401.014612
40.08680444,244.4134664
40.32413805,43.34141149
44.64402464,446.1861266
0.434218034,11.8260482
3.411411218,116.2441601
1.314484484,230.4364108
44.13341264,421.1681144
40.46363484,84.34044461
2.034218034,441.448144
4.116340449,433.4416018
2.643412643,44.44444444
2,443.4426634
1.044444444,234.1464425
21.61388432,121.8684404
2.461324361,264.8041401
1.213344423,646.4404412
2.861364161,121.0434433
4.412214412,161.4434662
2.444184644,631.8642344
2.441101101,866.0404126
2.134480443,442.6044414
2.023344423,431.1181306
4.168686869,160.4236211
4.384426384,616.144144
4.308163408,228.6821144
46.84421803,242.4434301
3.14411011,3.463636364
8.244480086,41.88111448
6.414444224,404.236138
1.141086241,644.4623021
1.344621105,160.1443615
4.134066044,622.4312341
4.643140643,184.121421
4.844218034,831.2446441
4.814404814,122.4444481
24.8044811,4.466666667
41.3184146,461.066484
4.264440264,31.12041844
8.412413682,12.10338611
44.43124137,241.4281068
1.63440482,442.4341128
6.460846461,24.4343014
4.021448448,416.3414626
6.640842831,34.00113423
1.44041643,44.40462362
6.408411148,460.8041048
44.86462043,418.6140463
4.36014146,46.46043348
4.342160342,610.4432142
4.046814047,111.4444662
6.666666667,14.43021111
1.406060606,14.34482434
3.481111111,408.3834314
6.241686869,12.31166024
6.421346421,240.3134623
1.210301638,412.0334212
4.664680345,214.4220401
42.08441481,46.61126111
4.424103814,410.181888
2.613144442,4.684848485
32.232,320.23212
29.3,343.06
47.4,652.21
32.45,632.54
42.56,765.32
11.2,213.4
0,0
0,0